Date,SO2,CO,O3,NO2,PM10 (cap),PM2.5,temp,rain,ws,wd,BLH,Cr,Ni,Zn,As,Pb,Mn
2019-07-10 14,0.002,0.3,0.033,0.006,8,7,21.5,0,3.6,20,717.14136,0.25,0.65,2.61,0.05,0.7,2.4
2019-07-10 15,0.002,0.3,0.032,0.007,13,4,21.2,0.6,3,20,683.5613,0.16,0.68,3.33,0.16,0.74,2.63
2019-07-10 16,0.002,0.3,0.033,0.007,12,2,21.2,2.2,3.5,20,634.6116,0.63,0.87,2.93,1.141194374,0.83,1.96
2019-07-10 17,0.002,0.3,0.035,0.007,7,1,21.5,2.1,3.1,50,627.7322,0.39,0.59,2.02,0.630389446,0.5,4.04
2019-07-10 18,0.002,0.3,0.035,0.008,5,7.351161822,21.6,5.3,3,20,597.25024,0.68,0.45,1.59,1.726055882,0.35,0.68
2019-07-10 19,0.002,0.3,0.041,0.007,4,1,21.9,5.7,3.4,50,492.03564,0.25,0.48,2.42,0.568217201,0.59,0.01
2019-07-10 20,0.002,0.3,0.041,0.007,2,4.202960217,21.9,3.9,4.2,70,477.1194,0.49,0.15,2.99,0.07,0.61,2.452659352
2019-07-10 21,0.002,0.3,0.042,0.007,2,6.170214365,22,2.5,4,70,451.7417,0.2,0.38,2.01,0.83155103,0.42,0.08
2019-07-10 22,0.002,0.3,0.04,0.007,4,5.473346371,21.9,1.4,2.9,70,456.4043,0.41,0.52,2.55,0.955658595,0.63,1.311513082
2019-07-10 23,0.002,0.3,0.038,0.007,5,7.1565234,22.2,1.7,2.8,90,457.5293,0.19,0.67,1.43,0.65485084,0.32,3.827891282
2019-07-11 00,0.002,0.3,0.032,0.009,16,7.56501899,22.1,1.5,1.7,20,433.82397,0.34,0.18,1.35,0.83573866,0.39,2.55244926
2019-07-11 01,0.002,0.3,0.036,0.006,4,1,22.1,4.1,2.1,360,232.4039,0.02,0.21,1.08,1.008952847,0.51,3.625137575
2019-07-11 02,0.002,0.3,0.031,0.007,4,2,21.9,4.7,1,360,164.50471,0.980961387,0.21,1.02,0.32100292,0.28,2.392891414
2019-07-11 03,0.002,0.3,0.029,0.007,3,5.06889995,22,0.6,0.4,302.7066977,283.62964,0.54,0.03,1.22,0.19,2.496687675,5.694053366
2019-07-11 04,0.003,0.3,0.024,0.008,5,2,21.9,0,1,320,305.52832,0.62,0.38,3.58,1.11,1.82,1.37
2019-07-11 05,0.002,0.3,0.022,0.008,6,3,21.9,0,0.8,340,285.25903,0.69,0.1,4.9,1.78,2.24,3.58
2019-07-11 06,0.002,0.3,0.021,0.007,4,2,21.8,0,1.3,340,232.8857,0.48,0.09,5.3,1.44,2.49,3.74
2019-07-11 07,0.002,0.3,0.021,0.007,8,4,22.4,0,1.1,360,126.06705,0.57,0.14,14.64,1.03,1.71,8.42
2019-07-11 08,0.002,0.4,0.02,0.009,7,6,22.9,0,1.9,340,199.98477,1.94,0.54,50.18,0.97,4.05,12.31
2019-07-11 09,0.002,0.4,0.019,0.009,13,11,23.6,0,0.7,360,310.19653,1.69,0.21,34.7,0.81,3.69,11.51
2019-07-11 10,0.002,0.4,0.021,0.009,12,9,24.7,0,1,50,496.17017,1.44,0.33,23.6,0.89,4.43,14.63
2019-07-11 11,0.002,0.4,0.024,0.01,12,7,25.3,0,0.7,20,594.05884,3.4,0.66,35.23,1.09,4.14,42.9
2019-07-11 12,0.002,0.3,0.031,0.008,11,8,26.4,0,1.2,360,619.4856,2.08,0.53,19.55,0.53,2.79,18.68
2019-07-11 13,0.002,0.3,0.041,0.007,10,5,27.4,0,1.1,290,726.9761,2.26,0.61,16.11,0.51,1.3,6.74
2019-07-11 14,0.003,0.3,0.042,0.011,6,6,27.5,0,1.5,270,727.66626,2.04,1.13,24.23,0.33,1.66,9.36
2019-07-11 15,0.002,0.3,0.044,0.009,12,8,28.1,0,1.8,290,604.1797,1.25,0.57,32.94,0.15,2.43,5.98
2019-07-11 16,0.006,0.4,0.036,0.02,9,8,27.9,0,0.8,160,521.4988,0.73,0.2,45.3,0.14,1.1,2.97
2019-07-11 17,0.006,0.5,0.029,0.029,23,6,27.6,0,0.5,180,440.06348,0.85,0.4,39.03,0.36,0.73,3.91
2019-07-11 18,0.003,0.3,0.039,0.012,29,7,27.8,0,1.7,270,360.55298,4.95,4.1,61.62,0.62,1.64,22.47
2019-07-11 19,0.002,0.3,0.035,0.011,14,7,25.6,0,1.9,360,138.92989,3.51,2.25,61.74,0.75,2.32,26.26
2019-07-11 20,0.002,0.3,0.03,0.01,14,6,25.2,0,1.3,340,73.81157,3.33,0.57,51.04,0.78,5.1,31.82
2019-07-11 21,0.002,0.3,0.026,0.012,11,6,24.7,0,0.9,340,70.47983,1.85,0.36,39.66,0.73,2.93,19.59
2019-07-11 22,0.002,0.3,0.025,0.011,13,6,24.4,0,0.7,360,101.72139,1.64,0.69,45.84,0.83,7.73,24.87
2019-07-11 23,0.002,0.3,0.026,0.01,12,5,23.2,0,1.1,20,117.581375,1.83,0.66,37.34,0.78,6.66,18.2
2019-07-12 00,0.006,0.5,0.02,0.02,35,11,21.9,0,1.2,20,116.69052,0.56,1.8,21.4,1.13,2.14,9.09
2019-07-12 01,0.002,0.3,0.031,0.008,19,7,22,0,1.1,70,99.83026,0.52,0.79,6.77,1.995807221,1.32,1.28
2019-07-12 02,0.002,0.3,0.029,0.008,20,4,21.5,0,1.1,250,77.37866,0.36,0.75,10.37,0.39,0.77,2.67
2019-07-12 03,0.002,0.3,0.03,0.007,21,3,21.1,0.3,0.5,180,60.98073,0.4,0.66,20.51,0.18,0.73,3.36
2019-07-12 04,0.002,0.3,0.03,0.007,14,2,20.9,0,0.6,200,93.863815,0.17,0.23,19.54,0.4,0.69,4.39
2019-07-12 05,0.002,0.3,0.031,0.007,13,2,20.6,1.9,0.8,200,133.32176,0.55,0.18,21.46,0.47,0.62,4.12
2019-07-12 06,0.002,0.3,0.026,0.009,15,2,20.6,1.7,1,110,148.66705,0.33,0.21,19.66,0.52,0.33,2.79
2019-07-12 07,0.002,0.3,0.02,0.014,9,2,20.9,0,1.1,250,295.1433,0.31,0.78,68.76,0.34,0.54,1.53
2019-07-12 08,0.002,0.3,0.016,0.015,9,5,21.8,0,0.6,160,521.4155,0.994312608,2.39700627,32.95242174,1.554746103,3.904515484,6.502391804
2019-07-12 09,0.004,0.4,0.022,0.021,8,13,22.3,0,1.4,160,695.6736,0.813925346,2.464541128,26.64168176,4.117641425,11.66388214,8.243226672
2019-07-12 10,0.008,0.4,0.024,0.022,27,15,24,0,1.5,110,826.81396,1.426666975,1.203426198,28.68467196,1.97708226,6.837785858,11.57757577
2019-07-12 11,0.008,0.4,0.028,0.022,23,20,24.6,0,1.4,140,982.93164,0.64,4.37,140.36,31.91,32.14,128.05
2019-07-12 12,0.011,0.4,0.033,0.022,29,15,25.1,0,1.4,160,1238.8528,0.77,6.7,96.2,35.86,33.93,43.52
2019-07-12 13,0.011,0.4,0.043,0.023,27,15,25.5,0,1.2,180,874.05225,0.98,9.08,120.11,43.87,40.2,66.64
2019-07-12 14,0.012,0.4,0.053,0.021,32,16,25.5,0,2,140,623.93506,0.94,8.9,65.81,27.51,21.77,28.65
2019-07-12 15,0.009,0.3,0.048,0.018,31,16,23.7,0,2.5,160,555.9009,0.37,10.21,35.79,16.17,16.17,9.02
2019-07-12 16,0.006,0.3,0.05,0.015,29,15,23.5,0,2.7,140,505.0066,1.15,8.03,50.86,15.08,16.33,33
2019-07-12 17,0.007,0.3,0.049,0.017,30,19,24.1,0,2,140,420.01172,1.26,9.53,73.78,17.23,20.42,50.46
2019-07-12 18,0.013,0.4,0.052,0.019,30,14,23.6,0,2.1,110,357.1306,1.11,15.37,58.52,15.94,18.97,24.84
2019-07-12 19,0.014,0.5,0.054,0.024,29,14,23,0,1.6,140,232.12837,0.19,16.35,42.81,22.21,18.2,15.84
2019-07-12 20,0.018,0.5,0.048,0.027,29,20,22.6,0,0.9,140,224.89333,1.06868972,20.75,78.72,66.13,41.69,12.01
2019-07-12 21,0.019,0.5,0.031,0.032,35,21,22.5,0,0.5,140,232.95721,0.44,24.55,97.39,72.24,51.64,17.06
2019-07-12 22,0.013,0.5,0.02,0.031,36,28,21.9,0,0.3,259.7146551,235.98055,0.83,22.07,116.54,65.42,52.72,18.38
2019-07-12 23,0.009,0.5,0.022,0.025,42,26,21.5,0,0.6,320,220.5458,0.94,15.27,124.13,40.8,33.13,15.14
2019-07-13 00,0.009,0.4,0.023,0.018,30,21,21.4,0,0.7,20,204.75125,0.42,9.79,35.38,9.16,10.84,6.24
2019-07-13 01,0.007,0.5,0.01,0.023,34,23,21.2,0,0.4,212.4527973,201.70891,3.59,8.61,50.85,10.11,13.31,12.68
2019-07-13 02,0.007,0.5,0.01,0.021,36,23,21.2,0,0.5,230,195.25487,6.81,9.3,77.27,7.4,10.69,27.16
2019-07-13 03,0.005,0.5,0.01,0.018,38,23,21,0,0.4,169.0823723,180.81926,8.81,9,86.31,4.62,11.11,28.04
2019-07-13 04,0.004,0.5,0.012,0.014,37,17,20.8,0,1.2,340,137.59357,7.69,9.23,77.46,6.31,11.09,24.03
2019-07-13 05,0.004,0.5,0.013,0.014,37,33,21.3,0,1.9,340,108.14865,6.45,11.87,143.4,59.22,54.38,31.95
2019-07-13 06,0.004,0.5,0.017,0.014,39,30,21.5,0,1.3,320,96.31343,8.22,9.54,108.04,37.25,37.37,34.35
2019-07-13 07,0.004,0.6,0.006,0.02,42,23,21.6,0,0.6,340,105.71982,5.72,5.2,72.73,15.79,19.72,24.06
2019-07-13 08,0.003,0.5,0.01,0.016,44,14,22.7,0,0.9,320,147.2544,5.72,3.88,77.21,11.72,21.84,23.52
2019-07-13 09,0.003,0.5,0.017,0.015,34,13,23.3,0,0.7,320,333.0193,4.16,2.35,76.25,6.95,17.26,18.56
2019-07-13 10,0.003,0.4,0.027,0.013,28,17,24.7,0,0.4,184.2223077,504.95752,3.93,2.1,63.83,5.42,11.77,19.77
2019-07-13 11,0.003,0.4,0.034,0.012,29,15,24.2,0,0.5,270,573.88745,3.58,2.51,56.3,5.11,11.59,17.4
2019-07-13 12,0.003,0.4,0.033,0.016,30,17,25.1,0,0.7,340,473.23413,2.95,2.46,54.33,4.41,10.64,15.41
2019-07-13 13,0.003,0.4,0.043,0.018,27,24,25.3,0.1,0.5,20,430.50195,4.15,5.14,93.7,6.09,11.13,52.2
2019-07-13 14,0.007,0.4,0.055,0.02,34,25,24.1,0,1.4,160,428.69067,2.58,10.68,105.44,16.18,18.88,50.94
2019-07-13 15,0.01,0.5,0.052,0.021,39,22,23.5,0,2.5,110,382.07568,1.26,8.93,154.29,69.81,68.01,51.33
2019-07-13 16,0.013,0.5,0.041,0.023,36,15,23.6,0,1.6,160,357.2998,1.04,8.25,149.3,83.54,59.77,70.84
2019-07-13 17,0.012,0.5,0.037,0.026,30,17,23.3,0,1.8,140,332.9043,0.61,10.34,147.03,88.12,64.64,74.7
2019-07-13 18,0.013,0.5,0.043,0.023,31,17,24.4,0,1.2,110,303.83862,2.13,12.68,97.23,83.88,52.52,23.95
2019-07-13 19,0.013,0.5,0.043,0.023,27,13,22.6,0,1.5,140,168.91362,0.45,15.2,98.97,81.55,63.42,9.13
2019-07-13 20,0.018,0.4,0.033,0.027,19,11,21.6,0,1.3,140,172.68784,0.46,18.71,18.78,7.12,9.91,3.58
2019-07-13 21,0.017,0.4,0.032,0.024,18,13,21,0,0.2,225.6547024,174.55617,0.37,15.9,13.96,2.92,5.01,2.31
2019-07-13 22,0.015,0.4,0.023,0.025,22,16,20.8,0,0.3,297.3185546,159.51219,0.62,16.19,66.01,3.77,6.07,4.91
2019-07-13 23,0.013,0.4,0.018,0.027,24,21,20.3,0,1.1,20,137.09439,3.06,17.9,250.94,2.88,3.86,12.72
2019-07-14 00,0.002,0.4,0.031,0.008,23,19,19.9,0,0.9,320,121.54651,3.47,13.91,209.71,4.38,5.44,9.97
2019-07-14 01,0.009,0.4,0.023,0.016,25,17,19.6,0,0.8,340,111.81702,2.46,12.04,178.62,4.45,6.46,8.44
2019-07-14 02,0.009,0.4,0.024,0.015,25,19,20,0,1.1,320,92.898575,2.41,12.16,142.8,3.17,6.16,8.65
2019-07-14 03,0.008,0.4,0.022,0.014,24,20,19.8,0,1.4,320,80.15758,1.5,10.55,140.41,6.34,8.36,7.33
2019-07-14 04,0.007,0.5,0.022,0.013,29,18,19.7,0,0.7,340,60.013107,1.7,7.43,115.83,23.59,23.68,5.78
2019-07-14 05,0.006,0.5,0.022,0.012,29,20,19,0,0.1,307.9809401,66.54343,1.07,5.27,80.08,30.73,31.08,4.14
2019-07-14 06,0.005,0.5,0.019,0.012,26,23,19.7,0,1.1,340,84.943344,1.75,5.36,116.48,54.22,51.51,8.5
2019-07-14 07,0.004,0.5,0.018,0.012,33,28,20.4,0,1,360,206.00124,2.4,3.62,149.46,80.34,78.73,16.25
2019-07-14 08,0.005,0.5,0.021,0.012,35,31,22.3,0,0.7,70,376.43433,2.69,4.19,238.18,133.77,130.06,22.24
2019-07-14 09,0.008,0.7,0.032,0.014,42,31,23.7,0,1.7,70,508.20337,11.63,6.57,387.27,123.26,137.01,51.21
2019-07-14 10,0.01,0.8,0.045,0.014,53,37,24.9,0,1.3,50,586.48364,14.36,7.78,377.83,98.83,115.43,63.08
2019-07-14 11,0.004,0.5,0.052,0.009,51,31,25.3,0,2.8,90,643.5327,4.65,3.84,137.36,32.7,40.05,30.76
2019-07-14 12,0.004,0.4,0.059,0.008,37,19,25.6,0,3.8,90,685.3672,1,2.66,41.99,12.33,15.9,10.15
2019-07-14 13,0.003,0.4,0.059,0.007,27,10,26,0,3.2,70,705.55005,0.7,1.63,16.95,2.38,4.91,2.69
2019-07-14 14,0.003,0.4,0.057,0.007,21,14,25.6,0,3.7,90,721.33936,1.13,2.88,25.19,2.61,6.85,5.14
2019-07-14 15,0.003,0.4,0.059,0.007,21,17,25.8,0,3.9,90,694.43896,1.66,3.18,44.79,4.61,10.51,8.5
2019-07-14 16,0.002,0.4,0.061,0.007,29,14,25.5,0,3.4,70,565.3003,0.89,1.97,25.75,2.74,8.7,5.95
2019-07-14 17,0.002,0.3,0.06,0.007,25,13,24.9,0,3.3,70,472.1399,0.7,1.74,19.91,4.21,9.87,5.1
2019-07-14 18,0.002,0.3,0.057,0.007,26,12,24.3,0,2.7,70,347.83862,0.64,1.62,20.01,3.37,8.9,4.26
2019-07-14 19,0.002,0.3,0.051,0.007,23,12,23.3,0,1.6,20,320.85083,0.48,1.38,19.86,3.01,8.59,4.3
2019-07-14 20,0.002,0.3,0.047,0.007,16,10,22.5,0,1.2,360,282.29688,0.71,1.49,18.53,3.33,9.43,3.96
2019-07-14 21,0.002,0.3,0.04,0.009,17,11,22,0,1,20,295.17285,0.47,1.5,19.55,5.26,12.5,4.11
2019-07-14 22,0.002,0.4,0.036,0.008,22,15,21.6,0,1.5,340,302.05933,0.57,1.27,28.66,8.58,19.18,5.13
2019-07-14 23,0.002,0.4,0.035,0.008,25,13,20.7,0,0.6,340,293.33984,0.94,1.19,31.31,10.93,20.49,6.06
2019-07-15 00,0.002,0.3,0.023,0.008,11,6,20.8,0,1.3,360,293.75317,2.02,1.25,36.34,11.27,22.32,7.66
2019-07-15 01,0.003,0.4,0.029,0.008,27,19,20,0,1.2,290,288.2412,3.15,1.51,45.32,13.59,25.05,8.77
2019-07-15 02,0.003,0.4,0.025,0.008,30,19,20.1,0,1.2,360,271.23438,2.97,1.51,45.33,16.01,27.36,7.7
2019-07-15 03,0.003,0.4,0.023,0.008,30,17,20.1,0,1.6,320,239.84824,2.83,1.42,47.42,16.47,27.58,8.91
2019-07-15 04,0.002,0.4,0.024,0.008,28,16,19.6,0,0.6,320,216.79564,1.9,1.06,32.42,15.2,26.39,5.54
2019-07-15 05,0.002,0.4,0.025,0.007,29,17,19.6,0,0.6,290,192.7987,1.84,1.04,37.63,15.39,27.03,6.81
2019-07-15 06,0.002,0.4,0.021,0.008,29,12,20.1,0,0.7,360,186.8125,1.42,0.86,31.7,14.98,26.72,5.06
2019-07-15 07,0.002,0.4,0.021,0.008,29,18,20.9,0,1.32052329,288.1781173,234.44283,1.56,1.07,46.04,18.13,30.6,8.04
2019-07-15 08,0.003,0.4,0.02,0.009,27,21,22.6,0,0.5,250,319.83398,2.83,1.28,68.04,19.25,33.39,8.91
2019-07-15 09,0.003,0.4,0.031,0.009,32,16,23.7,0,1.3,50,422.78833,1.57,1.13,48,16.16,28.17,5.73
2019-07-15 10,0.003,0.4,0.033,0.01,27,14,25.3,0,1.3,20,543.6572,1.97,1.29,45.74,14.14,25.36,8.92
2019-07-15 11,0.002,0.3,0.042,0.009,26,10,24.7,0,2.2,70,657.6538,0.47,1.4,22.54,10.33,19.12,4.77
2019-07-15 12,0.002,0.3,0.046,0.008,25,13,25.2,0,2,70,630.2405,0.87,1.84,23.56,8.2,15.87,4
2019-07-15 13,0.005,0.4,0.045,0.012,19,15,24,0,2.2,230,600.8711,2.48,4.7,131.39,28.91,64.35,62.89
2019-07-15 14,0.007,0.5,0.044,0.016,28,20,24.5,0,1.3,250,628.28125,1.52,6.18,104.69,8.13,20.55,52.55
2019-07-15 15,0.006,0.5,0.037,0.018,29,19,24.3,0,0.5,180,627.9082,1.65,5.33,85.07,5.24,11.95,21.6
2019-07-15 16,0.003,0.3,0.038,0.013,32,18,24.5,0,2.1,70,538.449,0.98,2.41,29.77,2.51,6.57,7.53
2019-07-15 17,0.002,0.3,0.037,0.01,23,6,24.1,0,1.4,90,484.96143,0.63,1.35,15.09,1.38,4.12,3.16
2019-07-15 18,0.002,0.3,0.037,0.01,16,8,23.6,0,3.1,70,406.65332,0.52,1.88,13.56,1.55,4.7,2.89
2019-07-15 19,0.002,0.3,0.036,0.009,16,8,22.6,0,2.2,70,318.20996,0.47,1.86,11.05,1.19,3.8,2.13
2019-07-15 20,0.002,0.3,0.032,0.01,13,5,21.8,0,0.8,50,298.90234,0.58,1.83,8.7,0.96,2.96,1.61
2019-07-15 21,0.002,0.3,0.028,0.01,14,6,21.4,0,0.9,340,298.58765,0.38,2.35,8.83,0.92,3.09,2.35
2019-07-15 22,0.002,0.3,0.026,0.009,13,9,21.3,0,0.9,340,234.0095,0.28,1.91,6.78,0.6,2.65,1.24
2019-07-15 23,0.002,0.3,0.024,0.009,12,8,20.6,0,0.3,269.3745988,254.40192,0.11,2.43,3.9,0.52,1.92,0.48
2019-07-16 00,0.002,0.3,0.03,0.007,13,6,20.7,0,1.6,320,278.69727,0.46,1.83,4.76,0.59,2.16,0.75
2019-07-16 01,0.002,0.3,0.02,0.009,10,5,19.9,0,0.2,270.2033971,242.69365,0.55,1.45,6.97,0.81,2.02,2.87
2019-07-16 02,0.002,0.3,0.018,0.009,12,6,20.4,0,0.8,340,217.37042,0.54,1.44,7.39,0.65,2.55,3.02
2019-07-16 03,0.002,0.3,0.017,0.008,11,6,20.2,0.1,1.4,320,221.55481,0.42,1.39,7.69,0.84,2.69,2.97
2019-07-16 04,0.002,0.3,0.019,0.006,13,4,20.2,0,1.3,320,240.56647,1.09,1.43,16.51,1.58,4.05,12.29
2019-07-16 05,0.002,0.3,0.017,0.007,12,12,19.8,0,0.7,360,209.0288,2.39,1.52,31.08,1.43,4.96,33.26
2019-07-16 06,0.002,0.3,0.015,0.008,10,8,20.4,0,1.2,320,227.53325,1.01,1.3,17.58,1.97,4.24,14.38
2019-07-16 07,0.002,0.3,0.017,0.008,15,6,21.6,0,1.2,340,285.06104,0.39,1.2,11.83,1.41,3.88,9.62
2019-07-16 08,0.002,0.3,0.018,0.011,14,6,22.9,0,1.3,360,370.89844,1.26,1.44,14,1.39,3.73,11.44
2019-07-16 09,0.002,0.3,0.026,0.009,16,5,25.5,0,1.1,90,529.65674,1.07,1.67,8.9,0.95,4.7,6
2019-07-16 10,0.002,0.3,0.032,0.009,12,7,25.7,0,1.7,140,675.3508,0.26,0.94,6.53,1.17,3.58,1.31
2019-07-16 11,0.002,0.3,0.037,0.007,9,7,25.6,0,3,90,704.7417,0.48,1.32,7.38,1.85,4.6,0.66
2019-07-16 12,0.002,0.3,0.038,0.007,17,6,25.9,0,3.2,70,722.6924,0.19,1.04,6.21,2.94,6.97,0.74
2019-07-16 13,0.002,0.3,0.039,0.007,11,5,26.6,0,3.3,90,720.3291,0.49,1.57,5.59,2.66,5.44,0.72
2019-07-16 14,0.002,0.3,0.038,0.007,9,5,25.9,0,3,90,723.1245,0.33,1.43,5.51,2.21,4.65,0.92
2019-07-16 15,0.002,0.3,0.036,0.008,18,4,25.9,0,3.1,90,703.5935,0.18,1.39,6.39,2.32,4.93,1.21
2019-07-16 16,0.002,0.3,0.034,0.007,10,1,25.8,0,3.1,70,617.8616,0.16,1.02,6.8,2.03,5.26,1.03
2019-07-16 17,0.002,0.3,0.033,0.008,8,6,24.7,0,3.1,90,542.20605,1.009645265,0.95,6.58,1.83,5.67,0.65
2019-07-16 18,0.002,0.3,0.033,0.008,10,7,24.2,0,2.9,70,516.24414,0.17,1.16,7.14,2.27,5.35,0.87
2019-07-16 19,0.002,0.3,0.034,0.008,9,5,23.1,0,2.1,70,461.47363,0.21,1.75,8.02,2.57,6.57,1.07
2019-07-16 20,0.002,0.3,0.032,0.008,12,6,22.3,0,1.4,90,425.84375,0.08,2.01,8.06,2.82,6.59,2.08
2019-07-16 21,0.002,0.3,0.033,0.008,14,9,22.2,0,2,50,443.02954,0.47,2.04,7.87,2.78,6.72,1.29
2019-07-16 22,0.002,0.3,0.034,0.008,14,9,21.8,0,1.3,20,456.19507,0.66,2.36,8.1,2.85,6.73,1.75
2019-07-16 23,0.002,0.3,0.032,0.008,18,7,21.7,0,0.7,360,422.8191,0.26,1.88,8.59,3.18,6.82,1.95
2019-07-17 00,0.004,0.3,0.021,0.012,16,7,21.4,0,1.3,360,391.63525,0.74,1.28,9.4,3.38,6.6,1.3
2019-07-17 01,0.002,0.3,0.028,0.007,14,7,20.8,0,1.2,340,364.71704,0.55,0.98,9.38,2.5,6.65,1.97
2019-07-17 02,0.002,0.3,0.023,0.007,13,7,20.4,0,1.3,320,335.27612,2.07,1.02,24.94,3.22,7.39,15.92
2019-07-17 03,0.002,0.3,0.023,0.007,12,6,20.3,0,1.6,320,289.52515,0.67,0.88,20.93,2.7,7.52,11.95
2019-07-17 04,0.002,0.3,0.025,0.006,16,6,19.9,0,2,320,267.52246,0.43,0.74,13.47,2.22,6.61,7.51
2019-07-17 05,0.002,0.3,0.024,0.006,11,6,19.7,0,1.7,320,252.79172,0.54,0.66,10.36,2.17,6.06,4.5
2019-07-17 06,0.002,0.3,0.02,0.007,10,8,19.9,0,1.7,340,260.30054,0.88,0.7,21.65,2.42,6.68,19.29
2019-07-17 07,0.002,0.3,0.021,0.007,15,8,21,0,0.9,340,286.43896,1.6,0.86,26.18,2.67,9.67,22.17
2019-07-17 08,0.002,0.3,0.027,0.007,15,8,23.3,0,1.2,20,432.0337,1.37,0.85,17.31,2.27,7.65,13.08
2019-07-17 09,0.002,0.3,0.027,0.008,9,6,23.4,0,1.3,50,642.1345,0.51,0.82,8.96,1.42,4.19,4.46
2019-07-17 10,0.002,0.3,0.032,0.008,10,6,25.2,0,2.9,90,729.05884,0.3,0.56,8.17,1.39,3.88,2.55
2019-07-17 11,0.002,0.3,0.031,0.007,8,5,24.2,0,2.7,90,809.6321,0.13,0.48,6.71,1.39,3.08,1
2019-07-17 12,0.002,0.3,0.031,0.007,13,6,25.3,0,2.8,90,605.0625,0.13,0.39,8.64,1.1,3.26,3.94
2019-07-17 13,0.002,0.3,0.033,0.007,17,5,25.2,0,2.3,90,613.6482,0.54,0.83,7.27,1.2,2.81,2.87
2019-07-17 14,0.002,0.3,0.034,0.009,8,5,25.6,0,1.3,70,591.7378,0.54,1.1,11.78,1.23,3.34,2.37
2019-07-17 15,0.002,0.3,0.04,0.009,13,7,26.8,0,1.2,90,604.6631,1.39,1.41,48.28,1.29,3.39,7.36
2019-07-17 16,0.002,0.3,0.044,0.01,12,7,27,0,1.3,360,494.7473,0.92,1.36,32.66,1.04,3.7,7.58
2019-07-17 17,0.002,0.3,0.037,0.011,11,6,25.6,0,2.4,50,394.52075,1.12,1.52,18.65,1.36,4.29,6.32
2019-07-17 18,0.002,0.3,0.03,0.011,10,10,25.3,0,1.2,110,347.00073,0.43,1.44,19.07,1.22,4.16,2.18
2019-07-17 19,0.002,0.3,0.026,0.012,11,7,23.5,0,1.9,110,235.48917,2.74,1.44,99.85,1.35,3.46,4.74
2019-07-17 20,0.004,0.3,0.024,0.016,10,9,23,0,1.7,90,211.10126,0.45,6.63,63.12,1.59,3.84,64.03
2019-07-17 21,0.002,0.3,0.025,0.012,16,9,22.7,0,0.5,160,152.39044,1.05,2.45,33.7,1.69,4.54,23.03
2019-07-17 22,0.002,0.3,0.02,0.015,12,6,22.7,0,0.8,140,164.9248,4.42,2.46,98.72,1.47,4.57,8.83
2019-07-17 23,0.003,0.3,0.023,0.014,16,6,22.9,0,1,160,198.53758,1.21,3.74,62.4,1.68,4.04,19.65
2019-07-18 00,0.004044824,0.415872895,0.011206027,0.016697594,25.30928463,15,22.4,0,1,270,193.20999,1.16,7.54,82.53,32.26,24.52,11.27
2019-07-18 01,0.004,0.3,0.022,0.01,19,9,22.1,1.2,0.5,270,162.63382,0.61,2.92,40.64,22.06,23.01,3.85
2019-07-18 02,0.002,0.3,0.022,0.009,11,8,21.2,3,3.4,230,85.85489,0.74,3.28,62.99,26.69,29.08,8.98
2019-07-18 03,0.003,0.3,0.019,0.01,18,16,20.9,3.9,0.8,290,97.42294,1.12,4.16,129.23,49.72,64.67,17.82
2019-07-18 04,0.003,0.4,0.014,0.01,22,16,20.9,0.1,1.7,290,103.21951,1.38,4.6,135.91,55.47,72.98,20.65
2019-07-18 05,0.003,0.4,0.019,0.009,25,18,21.1,1.4,1.3,340,81.570984,1.46,4.08,148.07,63.63,82.26,20
2019-07-18 06,0.003,0.4,0.015,0.01,23,21,21.1,0.8,0.5,180,98.77048,2.57,3.96,160.42,65.91,82.82,29.07
2019-07-18 07,0.002,0.4,0.016,0.01,27,18,21,1.8,0.6,320,111.71196,1.45,3.96,122.51,52.48,67.19,23.5
2019-07-18 08,0.002,0.4,0.013,0.011,29,16,21.3,2.5,0.7,360,247.74551,1.46,3.49,102.91,41.8,56.51,20.42
2019-07-18 09,0.002,0.4,0.025,0.011,19,12,21.1,2.2,0.8,270,325.15918,1.46,2.22,58.3,22.12,31.22,13.26
2019-07-18 10,0.002,0.4,0.035,0.009,22,9,22,0.6,1,270,300.26465,1.986773848,3.598379606,40.37829112,3.247021813,9.185572896,21.19101683
2019-07-18 11,0.003280508,0.26703411,0.021719882,0.012944214,15,10,22,0.1,1.3,180,267.15625,2.233516122,2.874367149,39.600634,4.347116955,12.96483048,14.54250456
2019-07-18 12,0.003280448,0.401058439,0.02505778,0.011204614,28.456709,18,22.2,0.5,1.1,230,274.21484,2.44,2.06,66.12,14.77,22.13,13.57
2019-07-18 13,0.011100382,0.447957793,0.038154353,0.027191476,49.54843634,16,22.2,0,1.5,160,320.74805,3.5,3.11,118.46,26.98,60.17,27.83
2019-07-18 14,0.005179788,0.455712632,0.024848633,0.021881578,33.89143859,22,22.4,0,1.9,200,316.8247,2.42,5.11,135.46,22.54,67.15,29.33
2019-07-18 15,0.003898956,0.44617504,0.023577141,0.01759812,26.85060679,12,23.2,0,1.2,180,265.89258,2.98,2.15,42.43,6.96,19.72,8.02
2019-07-18 16,0.002564261,0.335732462,0.030323009,0.01082848,20.7363069,8,23.4,0,1,160,290.05566,0.63,1.14,19.51,3.07,6.93,4.01
